CODIGO,MATERIA,REPETICION
102521010247,Contexto Regional,1
102522020209,Costos y Presupuesto,1
102516020635,Derecho Empresarial,3
102520010596,Diseño de Sistemas de Producción,1
102519020322,Diseño de Sistemas de Producción,1
102518020240,Diseño de Sistemas de Producción,1
102520010566,Diseño de Sistemas de Producción,1
102517011541,Electiva-Planeación en entidades Públicas.,1
102514021072,Epistemología de las Ciencias Sociales,2
102521020222,Epistemología de las Ciencias Sociales,1
102522010078,Epistemología de las Ciencias Sociales,1
102517011714,Estadística Inferencial,1
102517011354,Estadística Inferencial,1
102516021082,Estadística Inferencial,2
102520010565,Estadística Inferencial,1
102518010731,Estadística Inferencial,1
102519010035,Formulación y  Evaluación de  Proyectos,1
102521020214,Fundamentos de Cálculo,2
102522020180,Fundamentos de Cálculo,1
102521010245,Fundamentos de Cálculo,2
102522010114,Fundamentos de Cálculo,1
102522020200,Fundamentos de Cálculo,1
102522020179,Fundamentos de Cálculo,1
102522020196,Fundamentos de Cálculo,1
102518020250,Fundamentos de Cálculo,2
102522020174,Fundamentos de Cálculo,1
102518020217,Fundamentos de Cálculo,1
102522020178,Fundamentos de Cálculo,1
102522010105,Fundamentos de Cálculo,2
102522020209,Fundamentos de Cálculo,1
102521020195,Fundamentos de Cálculo,3
102519010044,Gerencia ,1
102518011292,Gerencia de  la  Producción,1
102519010028,Gerencia de  la  Producción,1
102519010035,Gerencia de  la  Producción,1
102519010023,Gerencia de  la  Producción,1
102518010098,Gerencia de  la  Producción,1
102519010008,Gerencia de  la  Producción,1
102519010044,Gerencia de  la  Producción,1
102518011632,Gerencia de  la  Producción,1
102518011526,Gerencia de  la  Producción,1
102517020401,Gerencia de Proyectos ,1
102517011354,Gerencia de Proyectos ,1
102517011398,Gerencia Financiera,2
102517020794,Identificación de Proyectos,1
102520010564,Ingeniería Financiera,1
102517011267,Ingeniería Financiera,3
102520010591,Ingeniería Financiera,1
102517020794,Investigación de Operaciones,1
102519020322,Macroeconomía,1
102521010250,Macroeconomía,1
102519010019,Metodología de la  Investigación II,1
102521020203,Metodología de la Investigación I,1
102519020306,Metodología de la Investigación I,3
102521020203,Microeconomía,1
102521010270,Microeconomía,2
102522010111,Microeconomía,1
102517020676,Optativa finazas III,1
102517020401,Optativa mercadeo III,1
102516021070,Optativa mercadeo 1,2
102516010596,Practica Organizacional,1
102515011410,Preparatorio: Componente de Administración y Organizaciones,4
102515021178,Preparatorio: Componente de Mercadeo,3
