CODIGO,GENERO,ESTUDIANTE,FACULTAD,PROGRAMA,SEDE,JORNADA,SEMESTRE,PERIODO
100423020941,M,Regular,Facultad de Ciencias Agrarias,Ingenieria Agroindustrial Diurno - Sede Santander de Quilichao,SANTANDER DE QUILICHAO,DIURNO,2,2023.2
100423020942,M,Regular,Facultad de Ciencias Agrarias,Ingenieria Agroindustrial Diurno - Sede Santander de Quilichao,SANTANDER DE QUILICHAO,DIURNO,1,2023.2
100423020943,F,Regular,Facultad de Ciencias Agrarias,Ingenieria Agroindustrial Diurno - Sede Santander de Quilichao,SANTANDER DE QUILICHAO,DIURNO,1,2023.2
100423020944,M,Regular,Facultad de Ciencias Agrarias,Ingenieria Agroindustrial Diurno - Sede Santander de Quilichao,SANTANDER DE QUILICHAO,DIURNO,1,2023.2
100423020945,M,Regular,Facultad de Ciencias Agrarias,Ingenieria Agroindustrial Diurno - Sede Santander de Quilichao,SANTANDER DE QUILICHAO,DIURNO,2,2023.2
100423020946,M,Regular,Facultad de Ciencias Agrarias,Ingenieria Agroindustrial Diurno - Sede Santander de Quilichao,SANTANDER DE QUILICHAO,DIURNO,1,2023.2
100423020947,F,Regular,Facultad de Ciencias Agrarias,Ingenieria Agroindustrial Diurno - Sede Santander de Quilichao,SANTANDER DE QUILICHAO,DIURNO,2,2023.2
100423020948,F,Regular,Facultad de Ciencias Agrarias,Ingenieria Agroindustrial Diurno - Sede Santander de Quilichao,SANTANDER DE QUILICHAO,DIURNO,2,2023.2
100423020949,F,Regular,Facultad de Ciencias Agrarias,Ingenieria Agroindustrial Diurno - Sede Santander de Quilichao,SANTANDER DE QUILICHAO,DIURNO,1,2023.2
100423020950,M,Regular,Facultad de Ciencias Agrarias,Ingenieria Agroindustrial Diurno - Sede Santander de Quilichao,SANTANDER DE QUILICHAO,DIURNO,2,2023.2
108523020951,F,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,1,2023.2
108523020952,M,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,2,2023.2
108523020953,F,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,2,2023.2
108523020954,M,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,2,2023.2
108523020955,M,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,2,2023.2
108523020956,F,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,1,2023.2
108523020958,M,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,1,2023.2
108523020959,F,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,2,2023.2
108523020960,M,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,1,2023.2
108523020961,F,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,1,2023.2
108523020962,F,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,1,2023.2
108523020963,M,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,2,2023.2
